start,end,months,phase,direction,start_value,end_value
2008-12-31,2009-12-31,13,上行,1,8.304135,16.615501
2010-01-31,2010-11-30,11,下行,-1,16.670516,13.071749
2010-12-31,2011-05-31,6,上行,1,13.029287,14.776938
2011-06-30,2013-02-28,21,下行,-1,14.809606,8.872463
2013-03-31,2014-01-31,11,上行,1,8.727312,9.296489
2014-02-28,2015-09-30,20,下行,-1,10.08148,5.309029
2015-10-31,2017-02-28,17,上行,1,5.170399,6.91081
2017-03-31,2020-02-29,36,下行,-1,7.112789,4.145645
2020-03-31,2021-02-28,12,上行,1,3.780264,8.020882
2021-03-31,2022-04-30,14,下行,-1,8.838604,4.332404
2022-05-31,2023-11-30,19,上行,1,3.634826,6.038191
2023-12-31,2024-12-31,13,下行,-1,6.045171,4.955188
2025-01-31,2026-05-31,17,上行,1,4.772215,3.187202
