name,date,type,value,turn
中国:建信高金宏观因子:增长因子,2010-01-31,peak,16.670516,高点
中国:建信高金宏观因子:增长因子,2010-12-31,trough,13.029287,低点
中国:建信高金宏观因子:增长因子,2011-06-30,peak,14.809606,高点
中国:建信高金宏观因子:增长因子,2013-03-31,trough,8.727312,低点
中国:建信高金宏观因子:增长因子,2014-02-28,peak,10.08148,高点
中国:建信高金宏观因子:增长因子,2015-10-31,trough,5.170399,低点
中国:建信高金宏观因子:增长因子,2017-03-31,peak,7.112789,高点
中国:建信高金宏观因子:增长因子,2020-03-31,trough,3.780264,低点
中国:建信高金宏观因子:增长因子,2021-03-31,peak,8.838604,高点
中国:建信高金宏观因子:增长因子,2022-05-31,trough,3.634826,低点
中国:建信高金宏观因子:增长因子,2023-12-31,peak,6.045171,高点
中国:建信高金宏观因子:增长因子,2025-01-31,trough,4.772215,低点
